QueryID,Tables,postgres_Estimate
78,MK T,6
78,MC MK,5
78,MC MK T,5
79,MC T,62
79,MK T,62
79,MC MK,58
79,MC MK T,62
80,MC T,1
80,MK T,1
80,MC MK,1
80,MC MK T,1
81,MC T,27
81,MK T,27
81,MC MK,30
81,MC MK T,30
82,MC T,174
82,MK T,177
82,MC MK,170
82,MC MK T,185
83,MC T,165
83,MK T,170
83,MC MK,167
83,MC MK T,159
84,MC T,1
84,MK T,1
84,MC MK,1
84,MC MK T,1
85,MC T,1
85,MK T,1
85,MC MK,1
85,MC MK T,1
86,MC T,22
86,MK T,22
86,MC MK,23
86,MC MK T,22
87,MC T,1
87,MK T,1
87,MC MK,1
87,MC MK T,1
88,MC T,9
88,MK T,10
88,MC MK,9
88,MC MK T,9
89,MC T,110
89,MK T,121
89,MC MK,119
89,MC MK T,123
90,MC T,47
90,MK T,46
90,MC MK,48
90,MC MK T,46
91,MC T,1
91,MK T,1
91,MC MK,1
91,MC MK T,1
92,MC T,58
92,MK T,58
92,MC MK,55
92,MC MK T,61
93,MC T,6
93,MK T,6
93,MC MK,6
93,MC MK T,6
94,MC T,225
94,MK T,205
94,MC MK,196
94,MC MK T,208
95,MC T,34
95,MK T,34
95,MC MK,36
95,MC MK T,36
96,MC T,876922
96,MK T,863047
96,MC MK,888586
96,MC MK T,842133
97,MC T,580
97,MK T,431
97,MC MK,448
97,MC MK T,834
98,MC T,1
98,MK T,1
98,MC MK,1
98,MC MK T,1
99,MC T,1751
99,MK T,217
99,MC MK,223
99,MC MK T,2241
100,MC T,1
100,MK T,1
100,MC MK,1
100,MC MK T,1
101,MC T,1
101,MK T,1
101,MC MK,1
101,MC MK T,1
102,MC T,8
102,MK T,8
102,MC MK,8
102,MC MK T,8
103,MC T,3
103,MK T,3
103,MC MK,3
103,MC MK T,3
104,MC T,154
104,MK T,156
104,MC MK,154
104,MC MK T,159
105,MC T,1
105,MK T,1
105,MC MK,1
105,MC MK T,1
106,MC T,56
106,MK T,56
106,MC MK,61
106,MC MK T,60
107,MC T,57
107,MK T,52
107,MC MK,45
107,MC MK T,53
108,MC T,55
108,MK T,54
108,MC MK,54
108,MC MK T,56
109,MC T,35
109,MK T,33
109,MC MK,34
109,MC MK T,34
110,MC T,1
110,MK T,1
110,MC MK,1
110,MC MK T,1
111,MI T,1
111,MK T,1
111,MI MK,1
111,MI MK T,1
112,MI T,4207
112,MK T,2590
112,MI MK,2404
112,MI MK T,3365
113,MI T,1
113,MK T,1
113,MI MK,1
113,MI MK T,1
114,MI T,941
114,MK T,842
114,MI MK,909
114,MI MK T,884
115,MI T,28
115,MK T,30
115,MI MK,30
115,MI MK T,31
116,MI T,64
116,MK T,64
116,MI MK,97
116,MI MK T,98
117,MI T,1
117,MK T,1
117,MI MK,1
117,MI MK T,1
118,MI T,5476
118,MK T,5204
118,MI MK,5627
118,MI MK T,5609
119,MI T,161
119,MK T,156
119,MI MK,167
119,MI MK T,158
120,MI T,17
120,MK T,15
120,MI MK,15
120,MI MK T,18
121,MI T,238
121,MK T,232
121,MI MK,238
121,MI MK T,3982
122,MI T,548
122,MK T,539
122,MI MK,543
122,MI MK T,531
123,MI T,495
123,MK T,499
123,MI MK,497
123,MI MK T,495
124,MI T,312
124,MK T,339
124,MI MK,320
124,MI MK T,324
125,MI T,1
125,MK T,1
125,MI MK,1
125,MI MK T,1
126,MI T,1
126,MK T,1
126,MI MK,1
126,MI MK T,1
127,MI T,21
127,MK T,22
127,MI MK,23
127,MI MK T,22
128,MI T,1
128,MK T,1
128,MI MK,1
128,MI MK T,1
129,MI T,9
129,MK T,8
129,MI MK,9
129,MI MK T,9
130,MI T,3352086
130,MK T,3292527
130,MI MK,3387279
130,MI MK T,3426411
131,MI T,7
131,MK T,6
131,MI MK,7
131,MI MK T,7
132,MI T,913
132,MK T,854
132,MI MK,854
132,MI MK T,920
133,MI T,2754
133,MK T,2105
133,MI MK,3031
133,MI MK T,1875
134,MI T,6787
134,MK T,5292
134,MI MK,5734
134,MI MK T,5076
135,MI T,1358
135,MK T,1268
135,MI MK,1309
135,MI MK T,1344
136,MI T,734
136,MK T,699
136,MI MK,692
136,MI MK T,707
137,MI T,2
137,MK T,1
137,MI MK,1
137,MI MK T,2
138,MI T,227
138,MK T,281
138,MI MK,142
138,MI MK T,234
139,MI T,9863474
139,MK T,9664007
139,MI MK,9592767
139,MI MK T,9566088
140,MI T,2
140,MK T,2
140,MI MK,2
140,MI MK T,2
141,MI T,1
141,MK T,1
141,MI MK,1
141,MI MK T,1
142,MI T,603459
142,MK T,662699
142,MI MK,584515
142,MI MK T,608646
143,MI T,1
143,MK T,1
143,MI MK,1
143,MI MK T,1
144,MI T,441
144,MK T,527
144,MI MK,659
144,MI MK T,560
145,MI T,27
145,MK T,27
145,MI MK,24
145,MI MK T,27
146,MI T,3787
146,MK T,4228
146,MI MK,4044
146,MI MK T,4120
147,MI T,1
147,MK T,1
147,MI MK,1
147,MI MK T,1
148,MI T,74
148,MK T,69
148,MI MK,71
148,MI MK T,70
149,MI T,1
149,MK T,1
149,MI MK,1
149,MI MK T,1
150,MI T,1
150,MK T,1
150,MI MK,1
150,MI MK T,1
151,MI T,1
151,MK T,1
151,MI MK,1
151,MI MK T,1
152,MI T,11
152,MK T,12
152,MI MK,10
152,MI MK T,10
153,MI T,1
153,MK T,1
153,MI MK,1
153,MI MK T,1
154,MI T,1
154,MK T,1
154,MI MK,1
154,MI MK T,1
155,MI T,23
155,MK T,26
155,MI MK,20
155,MI MK T,22
156,MI T,30
156,MK T,29
156,MI MK,29
156,MI MK T,31
157,MI T,2
157,MK T,3
157,MI MK,2
157,MI MK T,2
158,MI T,861
158,MK T,878
158,MI MK,876
158,MI MK T,869
159,MI T,1
159,MK T,1
159,MI MK,1
159,MI MK T,1
160,MI T,2631
160,MK T,2471
160,MI MK,2251
160,MI MK T,2591
161,MI T,318792
161,MK T,289239
161,MI MK,319366
161,MI MK T,312175
162,MI T,13
162,MK T,13
162,MI MK,14
162,MI MK T,13
163,MI T,4855
163,MK T,4881
163,MI MK,4997
163,MI MK T,4768
164,MI T,57
164,MK T,70
164,MI MK,63
164,MI MK T,70
165,MI T,6432
165,MK T,6197
165,MI MK,6578
165,MI MK T,5235
166,MI_IDX T,22
166,MK T,21
166,MI_IDX MK,22
166,MI_IDX MK T,22
167,MI_IDX T,92
167,MK T,86
167,MI_IDX MK,91
167,MI_IDX MK T,86
168,MI_IDX T,713
168,MK T,42
168,MI_IDX MK,759
168,MI_IDX MK T,39
169,MI_IDX T,24
169,MK T,23
169,MI_IDX MK,23
169,MI_IDX MK T,23
170,MI_IDX T,1
170,MK T,1
170,MI_IDX MK,1
170,MI_IDX MK T,1
171,MI_IDX T,2
171,MK T,2
171,MI_IDX MK,2
171,MI_IDX MK T,2
172,MI_IDX T,646
172,MK T,572
172,MI_IDX MK,621
172,MI_IDX MK T,737
173,MI_IDX T,9227
173,MK T,8898
173,MI_IDX MK,8537
173,MI_IDX MK T,9131
174,MI_IDX T,16
174,MK T,15
174,MI_IDX MK,14
174,MI_IDX MK T,15
175,MI_IDX T,9814
175,MK T,9283
175,MI_IDX MK,8668
175,MI_IDX MK T,9163
176,MI_IDX T,1
176,MK T,1
176,MI_IDX MK,1
176,MI_IDX MK T,1
177,MI_IDX T,1
177,MK T,1
177,MI_IDX MK,1
177,MI_IDX MK T,1
178,MI_IDX T,8
178,MK T,8
178,MI_IDX MK,8
178,MI_IDX MK T,8
179,MI_IDX T,22
179,MK T,24
179,MI_IDX MK,22
179,MI_IDX MK T,23
180,MI_IDX T,27
180,MK T,26
180,MI_IDX MK,26
180,MI_IDX MK T,27
181,MI_IDX T,2
181,MK T,2
181,MI_IDX MK,2
181,MI_IDX MK T,2
182,MI_IDX T,1
182,MK T,1
182,MI_IDX MK,1
182,MI_IDX MK T,1
183,MI_IDX T,1
183,MK T,1
183,MI_IDX MK,1
183,MI_IDX MK T,1
184,MI_IDX T,23
184,MK T,24
184,MI_IDX MK,23
184,MI_IDX MK T,22
185,MI_IDX T,1
185,MK T,1
185,MI_IDX MK,1
185,MI_IDX MK T,1
186,MI_IDX T,1
186,MK T,1
186,MI_IDX MK,1
186,MI_IDX MK T,1
187,MI_IDX T,7621
187,MK T,7394
187,MI_IDX MK,7593
187,MI_IDX MK T,7873
188,MI_IDX T,81
188,MK T,82
188,MI_IDX MK,82
188,MI_IDX MK T,81
189,MI_IDX T,1928
189,MK T,2251
189,MI_IDX MK,1905
189,MI_IDX MK T,82
190,MI_IDX T,56
190,MK T,55
190,MI_IDX MK,52
190,MI_IDX MK T,55
191,MI_IDX T,1
191,MK T,1
191,MI_IDX MK,1
191,MI_IDX MK T,1
192,MI_IDX T,11
192,MK T,11
192,MI_IDX MK,11
192,MI_IDX MK T,11
193,MI_IDX T,2118
193,MK T,1933
193,MI_IDX MK,1950
193,MI_IDX MK T,1671
194,MI_IDX T,9
194,MK T,10
194,MI_IDX MK,10
194,MI_IDX MK T,10
195,MI_IDX T,1
195,MK T,1
195,MI_IDX MK,1
195,MI_IDX MK T,1
196,MI_IDX T,30
196,MK T,26
196,MI_IDX MK,29
196,MI_IDX MK T,33
197,MI_IDX T,67
197,MK T,67
197,MI_IDX MK,66
197,MI_IDX MK T,66
198,MI_IDX T,1
198,MK T,1
198,MI_IDX MK,1
198,MI_IDX MK T,1
199,MI_IDX T,21
199,MK T,21
199,MI_IDX MK,23
199,MI_IDX MK T,21
200,MI_IDX T,11
200,MK T,12
200,MI_IDX MK,11
200,MI_IDX MK T,11
201,MI_IDX T,1
201,MK T,1
201,MI_IDX MK,1
201,MI_IDX MK T,1
202,MI_IDX T,1
202,MK T,1
202,MI_IDX MK,1
202,MI_IDX MK T,1
203,MI_IDX T,96340
203,MK T,96405
203,MI_IDX MK,95083
203,MI_IDX MK T,97453
204,MI_IDX T,12
204,MK T,12
204,MI_IDX MK,12
204,MI_IDX MK T,208
205,MI_IDX T,1
205,MK T,1
205,MI_IDX MK,1
205,MI_IDX MK T,1
206,MI_IDX T,928362
206,MK T,887189
206,MI_IDX MK,905118
206,MI_IDX MK T,906048
207,MI_IDX T,23
207,MK T,25
207,MI_IDX MK,386
207,MI_IDX MK T,26
208,MI_IDX T,71
208,MK T,76
208,MI_IDX MK,70
208,MI_IDX MK T,69
209,MI_IDX T,52
209,MK T,51
209,MI_IDX MK,52
209,MI_IDX MK T,52
210,MI_IDX T,1
210,MK T,1
210,MI_IDX MK,1
210,MI_IDX MK T,1
211,MI_IDX T,8
211,MK T,8
211,MI_IDX MK,7
211,MI_IDX MK T,8
212,MI_IDX T,200079
212,MK T,195668
212,MI_IDX MK,194539
212,MI_IDX MK T,199039
213,MI_IDX T,2110
213,MK T,2148
213,MI_IDX MK,2085
213,MI_IDX MK T,2082
214,MI_IDX T,13858
214,MK T,13182
214,MI_IDX MK,13891
214,MI_IDX MK T,13691
215,MI_IDX T,1
215,MK T,1
215,MI_IDX MK,1
215,MI_IDX MK T,1
216,MI_IDX T,11
216,MK T,12
216,MI_IDX MK,12
216,MI_IDX MK T,11
217,MI_IDX T,6
217,MK T,5
217,MI_IDX MK,5
217,MI_IDX MK T,6
218,MI_IDX T,14
218,MK T,13
218,MI_IDX MK,13
218,MI_IDX MK T,14
219,MI_IDX T,1
219,MK T,1
219,MI_IDX MK,1
219,MI_IDX MK T,1
220,MI_IDX T,1
220,MK T,1
220,MI_IDX MK,1
220,MI_IDX MK T,1
221,MI T,13895
221,MC T,16879
221,MC MI,15032
221,MC MI T,18129
222,MI T,932667
222,MC T,847039
222,MC MI,800708
222,MC MI T,861191
223,MI T,3097
223,MC T,3555
223,MC MI,3298
223,MC MI T,3006
224,MI T,175
224,MC T,190
224,MC MI,203
224,MC MI T,169
225,MI T,3
225,MC T,3
225,MC MI,5
225,MC MI T,4
226,MI T,331545
226,MC T,332707
226,MC MI,327793
226,MC MI T,329075
227,MI T,1
227,MC T,1
227,MC MI,1
227,MC MI T,1
228,MI T,1
228,MC T,1
228,MC MI,1
228,MC MI T,1
229,MI T,557016
229,MC T,572937
229,MC MI,543273
229,MC MI T,531529
230,MI T,1
230,MC T,1
230,MC MI,1
230,MC MI T,1
231,MI T,207975
231,MC T,211045
231,MC MI,220066
231,MC MI T,206380
232,MI T,818461
232,MC T,781417
232,MC MI,835278
232,MC MI T,918202
233,MI T,36855
233,MC T,36259
233,MC MI,37998
233,MC MI T,33327
234,MI T,1
234,MC T,1
234,MC MI,1
234,MC MI T,1
235,MI T,1
235,MC T,1
235,MC MI,1
235,MC MI T,1
236,MI T,52
236,MC T,37
236,MC MI,41
236,MC MI T,52
237,MI T,5484
237,MC T,5482
237,MC MI,5734
237,MC MI T,5597
238,MI T,4
238,MC T,5
238,MC MI,4
238,MC MI T,5
239,MI T,3530657
239,MC T,3728905
239,MC MI,3391897
239,MC MI T,3526723
240,MI T,1
240,MC T,1
240,MC MI,1
240,MC MI T,1
241,MI T,432
241,MC T,361
241,MC MI,404
241,MC MI T,316
242,MI T,62107
242,MC T,58023
242,MC MI,57138
242,MC MI T,65428
243,MI T,81816
243,MC T,99031
243,MC MI,87669
243,MC MI T,88870
244,MI T,24629
244,MC T,28976
244,MC MI,24541
244,MC MI T,28700
245,MI T,3453336
245,MC T,3412519
245,MC MI,3292461
245,MC MI T,3587156
246,MI T,5753
246,MC T,5617
246,MC MI,5424
246,MC MI T,5335
247,MI T,3613073
247,MC T,3739045
247,MC MI,3486741
247,MC MI T,3633897
248,MI T,868
248,MC T,853
248,MC MI,798
248,MC MI T,812
249,MI T,49316
249,MC T,44543
249,MC MI,42994
249,MC MI T,39773
250,MI T,29244
250,MC T,26640
250,MC MI,29386
250,MC MI T,21574
251,MI T,15
251,MC T,16
251,MC MI,16
251,MC MI T,16
252,MI T,1245794
252,MC T,1296104
252,MC MI,1245416
252,MC MI T,1320385
253,MI T,116
253,MC T,118
253,MC MI,118
253,MC MI T,120
254,MI T,4451
254,MC T,4778
254,MC MI,4431
254,MC MI T,4128
255,MI T,3320752
255,MC T,3189904
255,MC MI,3452992
255,MC MI T,3281810
256,MI T,35634
256,MC T,33589
256,MC MI,37061
256,MC MI T,35555
257,MI T,731978
257,MC T,681771
257,MC MI,724283
257,MC MI T,637309
258,MI T,1746
258,MC T,1738
258,MC MI,1630
258,MC MI T,1758
259,MI T,42876
259,MC T,47031
259,MC MI,46119
259,MC MI T,47386
260,MI T,19915
260,MC T,22870
260,MC MI,21224
260,MC MI T,21280
261,MI T,75219
261,MC T,76855
261,MC MI,78748
261,MC MI T,79565
262,MI T,27716
262,MC T,29084
262,MC MI,28732
262,MC MI T,26353
263,MI T,319858
263,MC T,316665
263,MC MI,314297
263,MC MI T,324368
264,MI T,514055
264,MC T,537272
264,MC MI,531705
264,MC MI T,532011
265,MI T,38
265,MC T,39
265,MC MI,41
265,MC MI T,38
266,MI T,35994
266,MC T,35750
266,MC MI,34063
266,MC MI T,33726
267,MI T,49
267,MC T,55
267,MC MI,51
267,MC MI T,54
268,MI T,41
268,MC T,40
268,MC MI,39
268,MC MI T,39
269,MI T,10
269,MC T,10
269,MC MI,10
269,MC MI T,10
270,MI T,1
270,MC T,1
270,MC MI,1
270,MC MI T,1
271,MI T,90659
271,MC T,87058
271,MC MI,85450
271,MC MI T,89616
272,MI T,3174510
272,MC T,3181442
272,MC MI,3250370
272,MC MI T,3301207
273,MI T,181
273,MC T,207
273,MC MI,183
273,MC MI T,190
274,MI T,306302
274,MC T,291629
274,MC MI,286583
274,MC MI T,294799
275,MI T,1966867
275,MC T,2104588
275,MC MI,1967866
275,MC MI T,1841240
276,MK T,14
276,CI T,16
276,CI MK,15
276,CI MK T,12
277,MK T,796489
277,CI T,688653
277,CI MK,770755
277,CI MK T,732809
278,MK T,12
278,CI T,11
278,CI MK,12
278,CI MK T,13
279,MK T,270
279,CI T,248
279,CI MK,225
279,CI MK T,216
280,MK T,1
280,CI T,1
280,CI MK,1
280,CI MK T,1
281,MK T,161
281,CI T,165
281,CI MK,159
281,CI MK T,175
282,MK T,1
282,CI T,1
282,CI MK,1
282,CI MK T,1
283,MK T,354
283,CI T,338
283,CI MK,368
283,CI MK T,367
284,MK T,1
284,CI T,1
284,CI MK,1
284,CI MK T,1
285,MK T,71273
285,CI T,67011
285,CI MK,62905
285,CI MK T,66572
286,MK T,1
286,CI T,1
286,CI MK,1
286,CI MK T,1
287,MK T,1
287,CI T,1
287,CI MK,1
287,CI MK T,1
288,MK T,1
288,CI T,1
288,CI MK,1
288,CI MK T,1
289,MK T,10415427
289,CI T,10674891
289,CI MK,10790310
289,CI MK T,10937580
290,MK T,330
290,CI T,292
290,CI MK,335
290,CI MK T,308
291,MK T,1
291,CI T,1
291,CI MK,1
291,CI MK T,1
292,MK T,191
292,CI T,197
292,CI MK,210
292,CI MK T,209
293,MK T,2
293,CI T,3
293,CI MK,3
293,CI MK T,3
294,MK T,17
294,CI T,17
294,CI MK,16
294,CI MK T,17
295,MK T,4
295,CI T,4
295,CI MK,3
295,CI MK T,4
296,MK T,1
296,CI T,1
296,CI MK,1
296,CI MK T,1
297,MK T,309461
297,CI T,340614
297,CI MK,311372
297,CI MK T,359527
298,MK T,1
298,CI T,1
298,CI MK,1
298,CI MK T,1
299,MK T,1823234
299,CI T,1836139
299,CI MK,1928529
299,CI MK T,1993176
300,MK T,291
300,CI T,300
300,CI MK,244
300,CI MK T,263
301,MK T,1037
301,CI T,1060
301,CI MK,966
301,CI MK T,988
302,MK T,160
302,CI T,163
302,CI MK,164
302,CI MK T,170
303,MK T,138
303,CI T,159
303,CI MK,165
303,CI MK T,154
304,MK T,155
304,CI T,160
304,CI MK,165
304,CI MK T,166
305,MK T,11126
305,CI T,12305
305,CI MK,11465
305,CI MK T,12418
306,MK T,162
306,CI T,166
306,CI MK,159
306,CI MK T,168
307,MK T,1411212
307,CI T,1300572
307,CI MK,1412259
307,CI MK T,1319148
308,MK T,1013
308,CI T,996
308,CI MK,1115
308,CI MK T,996
309,MK T,1
309,CI T,1
309,CI MK,1
309,CI MK T,1
310,MK T,238
310,CI T,177
310,CI MK,184
310,CI MK T,225
311,MK T,955867
311,CI T,1021504
311,CI MK,963860
311,CI MK T,972241
312,MK T,1
312,CI T,1
312,CI MK,1
312,CI MK T,1
313,MK T,1
313,CI T,1
313,CI MK,1
313,CI MK T,1
314,MK T,948805
314,CI T,1041445
314,CI MK,893381
314,CI MK T,891528
315,MK T,459163
315,CI T,520636
315,CI MK,476558
315,CI MK T,479762
316,MK T,155
316,CI T,143
316,CI MK,7
316,CI MK T,196
317,MK T,1
317,CI T,1
317,CI MK,1
317,CI MK T,1
318,MK T,548
318,CI T,585
318,CI MK,569
318,CI MK T,588
319,MK T,27240
319,CI T,27852
319,CI MK,24789
319,CI MK T,25673
320,MK T,1826
320,CI T,1910
320,CI MK,1938
320,CI MK T,1704
321,MK T,54969
321,CI T,63242
321,CI MK,55836
321,CI MK T,59599
322,MK T,3102949
322,CI T,3267188
322,CI MK,3284890
322,CI MK T,3241691
323,MK T,1
323,CI T,1
323,CI MK,1
323,CI MK T,1
324,MK T,2061883
324,CI T,2239005
324,CI MK,2349992
324,CI MK T,2004877
325,MK T,140
325,CI T,145
325,CI MK,135
325,CI MK T,189
326,MK T,10
326,CI T,9
326,CI MK,10
326,CI MK T,10
327,MK T,8021628
327,CI T,7755060
327,CI MK,8218449
327,CI MK T,7865851
328,MK T,2
328,CI T,3
328,CI MK,3
328,CI MK T,2
329,MK T,1
329,CI T,22
329,CI MK,17
329,CI MK T,1
330,MK T,839
330,CI T,799
330,CI MK,567
330,CI MK T,873
331,CI T,447849
332,CI T,1408
333,CI T,986
334,CI T,1835
335,CI T,5
336,CI T,278030
337,CI T,2555836
338,CI T,37043
339,CI T,32638
340,CI T,22391
341,CI T,4272
342,CI T,6225
343,CI T,273125
344,CI T,71598
345,CI T,295380
346,CI T,357296
347,CI T,250
348,CI T,3
349,CI T,1948799
350,CI T,72
351,CI T,66
352,CI T,1453758
353,CI T,2
354,CI T,1413001
355,CI T,853589
356,CI T,37081
357,CI T,1
358,CI T,905
359,CI T,36989
360,CI T,2573332
361,CI T,8594
362,CI T,524690
363,CI T,5
364,CI T,416
365,CI T,13
366,CI T,38177
367,CI T,44015
368,CI T,545
369,CI T,1
370,CI T,2
371,CI T,14
372,CI T,3
373,CI T,1
374,CI T,136
375,CI T,12236
376,CI T,134277
377,CI T,3
378,CI T,36704
379,CI T,50798
380,CI T,187
381,CI T,2565092
382,CI T,2
383,CI T,2
384,CI T,361144
385,CI T,856490
386,CI T,11466
386,MC T,11405
386,CI MC,10805
386,CI MC T,10205
387,CI T,7
387,MC T,7
387,CI MC,7
387,CI MC T,7
388,CI T,1967
