QueryID,Tables,truecardinality_Estimate
38,B PH U,443440
38,B C PH,105742741
38,B C PH U,105742741
39,C U,48758
39,PH U,16892
39,B U,58111
39,C PH,69114343
39,B C,10235746
39,B PH,6011297
39,C PH U,194277
39,B C U,281119
39,B PH U,103411
39,B C PH,19491642584
39,B C PH U,2034610
40,P PL,9249
40,P U,41873
40,B P,3544708
40,B U,58078
40,P PL U,4543
40,B P PL,244545
40,B P U,190339
40,B P PL U,28565
41,P PL,560
41,P U,1091
41,B P,22791
41,B U,53752
41,P PL U,332
41,B P PL,11332
41,B P U,5044
41,B P PL U,1717
42,P PH,213642
42,P U,41569
42,P V,150600
42,PH V,1331347
42,P PH U,209583
42,P PH V,915414
42,P U V,147464
42,P PH U V,896180
43,P U,60142
43,PH U,38775
43,P PH,916826
43,B P,3728285
43,B PH,452527
43,P PH U,404170
43,B P U,550289
43,B PH U,264252
43,B P PH,58846511
43,B P PH U,7661811
44,P U,8538
44,PH U,130349
44,P PH,1236745
44,B P,190399
44,B PH,15878293
44,P PH U,181951
44,B P U,51156
44,B PH U,659318
44,B P PH,120985656
44,B P PH U,2101105
45,PH U,1816
45,U V,574
45,B U,2560
45,PH V,2639317
45,B PH,3591110
45,B V,1048797
45,PH U V,1291
45,B PH U,6576
45,B U V,2275
45,B PH V,503641171
45,B PH U V,6272
46,C P,25695
46,P PL,3167
46,P PH,61284
46,P V,56627
46,C PL,31580
46,C PH,691045
46,C V,847176
46,PH PL,55293
46,PL V,66311
46,PH V,1228382
46,C P PL,10594
46,C P PH,160411
46,C P V,147586
46,P PH PL,19015
46,P PL V,18097
46,P PH V,334037
46,C PH PL,194687
46,C PL V,262343
46,C PH V,3918357
46,PH PL V,403975
46,C P PH PL,69251
46,C P PL V,65948
46,C P PH V,988335
46,P PH PL V,114676
46,C PH PL V,1730990
46,C P PH PL V,454094
47,C U,171470
47,P U,9880
47,C P,535671
47,C PH,1794583
47,P PH,131564
47,P V,4636
47,PH V,14444
47,C P U,535671
47,C PH U,1794583
47,P PH U,131564
47,P U V,4636
47,C P PH,25576010
47,C P V,1320425
47,C PH V,4581217
47,P PH V,222147
47,C P PH U,25576010
47,C P U V,1320425
47,C PH U V,4581217
47,P PH U V,222147
47,C P PH V,60601561
47,C P PH U V,60601561
48,B U,26948
48,PH U,53
48,B PH,24105
48,B V,1056687
48,PH V,18817
48,C PH,393181
48,C V,11026771
48,B PH U,120
48,B U V,4930
48,PH U V,16
48,C PH U,222
48,B PH V,3829734
48,B C PH,118159201
48,B C V,2809685334
48,C PH V,66690469
48,B PH U V,56
48,B C PH U,813
48,B C U V,11645
48,C PH U V,58
48,B C PH V,21963242042
48,B C PH U V,224
49,C U,8862
49,P U,65951
49,C P,11575234
49,C V,71021
49,P V,83727
49,B P,3589712
49,B V,28435
49,C P U,666674
49,C U V,3254
49,P U V,18142
49,B P U,876769
49,C P V,86718696
49,B C P,3183702582
49,B C V,20762610
49,B P V,16621776
49,C P U V,336373
49,B C P U,34614069
49,B C U V,113727
49,B P U V,553968
49,B C P V,27903957956
49,B C P U V,18597973
50,C U,1561
50,P U,1716
50,C P,32749
50,C V,2202146
50,P V,60591
50,B P,62905
50,B V,1056687
50,C P U,255
50,C U V,2276
50,P U V,2054
50,B P U,5670
50,C P V,3842095
50,B C P,3861488
50,B C V,596329310
50,B P V,4116849
50,C P U V,1129
50,B C P U,1501
50,B C U V,14692
50,B P U V,12469
50,B C P V,917236886
50,B C P U V,9812
51,C U,62181
51,P U,35799
51,PH U,51691
51,B U,62539
51,C P,1774105
51,C PH,54459286
51,B C,15361320
51,P PH,902413
51,B P,430601
51,B PH,3494467
51,C P U,332175
51,C PH U,565858
51,B C U,427027
51,P PH U,236070
51,B P U,186140
51,B PH U,288162
51,C P PH,600488707
51,B C P,145721726
51,B C PH,14223471879
51,B P PH,54439732
51,C P PH U,6196023
51,B C P U,3660633
51,B C PH U,6349008
51,B P PH U,2418433
51,B C P PH,111788720164
51,B C P PH U,86914174
52,C U,66480
52,P U,4137
52,PH U,152743
52,B U,61425
52,C P,311724
52,C PH,263105194
52,B C,15716615
52,P PH,494123
52,B P,73766
52,B PH,16057294
52,C P U,68599
52,C PH U,2563676
52,B C U,552707
52,P PH U,148234
52,B P U,31954
52,B PH U,1054352
52,C P PH,360985600
52,B C P,24666983
52,B C PH,78760414970
52,B P PH,39205297
52,C P PH U,8561196
52,B C P U,1237854
52,B C PH U,42487664
52,B P PH U,2754917
52,B C P PH,64145760515
52,B C P PH U,228748307
53,P PL,11097
53,C P,90072
53,P U,42188
53,B P,452644
53,C PL,33309
53,B U,79851
53,C P PL,33295
53,P PL U,10828
53,B P PL,293006
53,C P U,88490
53,B C P,1032818
53,B P U,452644
53,C P PL U,32682
53,B C P PL,913441
53,B P PL U,293006
53,B C P U,1032818
53,B C P PL U,913441
54,P PL,229
54,C P,3772
54,P U,1774
54,B P,18209
54,C PL,29229
54,B U,65153
54,C P PL,522
54,P PL U,192
54,B P PL,3050
54,C P U,3365
54,B C P,35849
54,B P U,13729
54,C P PL U,468
54,B C P PL,5551
54,B P PL U,1651
54,B C P U,25762
54,B C P PL U,4801
55,P T,596
55,P U,50205
55,P PH,54807156
55,B P,3632995
55,PH U,148177
55,B U,60582
55,B PH,15948894
55,P T U,26
55,P PH T,1582530
55,B P T,76885
55,P PH U,1759830
55,B P U,333338
55,B P PH,11926912932
55,B PH U,980375
55,P PH T U,947
55,B P T U,269
55,B P PH T,366420660
55,B P PH U,41739412
55,B P PH T U,14413
56,P T,596
56,P U,90584
56,P V,2737086
56,B P,3728360
56,U V,34789
56,B U,79851
56,B V,1056687
56,P T U,593
56,P T V,70752
56,B P T,78986
56,P U V,2737086
56,B P U,3728360
56,B P V,535001368
56,B U V,1056687
56,P T U V,70752
56,B P T U,78986
56,B P T V,15887370
56,B P U V,535001368
56,B P T U V,15887370
57,P T,596
57,P U,67930
57,P V,121174
57,B P,3723967
57,U V,942
57,B U,72791
57,B V,41153
57,P T U,218
57,P T V,2642
57,B P T,78895
57,P U V,32380
57,B P U,738281
57,B P V,24804704
57,B U V,16394
57,P T U V,312
57,B P T U,7584
57,B P T V,644030
57,B P U V,908830
57,B P T U V,5091
58,P PL,10959
58,P U,79662
58,B P,3676560
58,P PH,21426821
58,P V,2712537
58,B U,71547
58,PH U,58416
58,U V,31148
58,B PH,6167152
58,B V,1052150
58,PH V,6053427
58,P PL U,8909
58,B P PL,290032
58,P PH PL,595640
58,P PL V,229898
58,B P U,2954776
58,P PH U,18631047
58,P U V,2409832
58,B P PH,5052664850
58,B P V,524530417
58,P PH V,5501743912
58,B PH U,5385663
58,B U V,858085
58,PH U V,5699168
58,B PH V,1436127482
58,B P PL U,167260
58,P PH PL U,352054
58,P PL U V,130192
58,B P PH PL,102024046
58,B P PL V,23326398
58,P PH PL V,85021978
58,B P PH U,4664599508
58,B P U V,488657174
58,P PH U V,5383224109
58,B P PH V,1612423052492
58,B PH U V,1389418172
58,B P PH PL U,58582347
58,B P PL U V,9726255
58,P PH PL U V,67575395
58,B P PH PL V,21215255783
58,B P PH U V,1593915597881
58,B P PH PL U V,17849233970
59,P PL,7972
59,P U,9921
59,B P,217519
59,P PH,416123
59,P V,196751
59,B U,60793
59,PH U,48768
59,U V,19995
59,B PH,3624412
59,B V,1056132
59,PH V,2638909
59,P PL U,4846
59,B P PL,244076
59,P PH PL,429194
59,P PL V,195322
59,B P U,79008
59,P PH U,113661
59,P U V,46721
59,B P PH,35509433
59,B P V,15012180
59,P PH V,30215448
59,B PH U,328282
59,B U V,137842
59,PH U V,165958
59,B PH V,510775350
59,B P PL U,58593
59,P PH PL U,68535
59,P PL U V,35439
59,B P PH PL,52842857
59,B P PL V,21015348
59,P PH PL V,42872686
59,B P PH U,2841756
59,B P U V,1030854
59,P PH U V,2869244
59,B P PH V,4939100348
59,B PH U V,3679189
59,B P PH PL U,2081898
59,B P PL U V,927657
59,P PH PL U V,1916135
59,B P PH PL V,8800936650
59,B P PH U V,130188114
59,B P PH PL U V,88962973
60,C P,174305
60,P PL,11102
60,P V,328064
60,P U,57955
60,B P,3728360
60,C PL,33326
60,C V,865125
60,PL V,316252
60,B U,67286
60,C P PL,33326
60,C P V,865125
60,C P U,106271
60,B C P,7804481
60,P PL V,316252
60,P PL U,8128
60,B P PL,293141
60,P U V,168526
60,B P V,19262337
60,B P U,454662
60,C PL V,1245351
60,C P PL V,1245351
60,C P PL U,24072
60,B C P PL,913994
60,C P U V,413794
60,B C P V,57607162
60,B C P U,846751
60,P PL U V,179357
60,B P PL V,13327432
60,B P PL U,98079
60,B P U V,1762022
60,C P PL U V,711808
60,B C P PL V,50593988
60,B C P PL U,289350
60,B C P U V,4440573
60,B P PL U V,3279466
60,B C P PL U V,11947976
61,C P,28256
61,P PL,4556
61,P V,47828
61,P U,9723
61,B P,183601
61,C PL,28803
61,C V,666440
61,PL V,156174
61,B U,64342
61,C P PL,12375
61,C P V,119851
61,C P U,22952
61,B C P,428714
61,P PL V,29438
61,P PL U,3268
61,B P PL,98645
61,P U V,33755
61,B P V,938446
61,B P U,91862
61,C PL V,572851
61,C P PL V,83029
61,C P PL U,9219
61,B C P PL,286965
61,C P U V,91002
61,B C P V,2363250
61,B C P U,232501
61,P PL U V,19619
61,B P PL V,743156
61,B P PL U,42182
61,B P U V,384970
61,C P PL U V,57739
61,B C P PL V,2358143
61,B C P PL U,124795
61,B C P U V,1120644
61,B P PL U V,275411
61,B C P PL U V,868310
62,C P,1532
62,P PL,3847
62,P V,62202
62,P U,11323
62,B P,163757
62,C PL,2957
62,C V,58321
62,PL V,316252
62,B U,79851
62,C P PL,640
62,C P V,10043
62,C P U,1503
62,B C P,21714
62,P PL V,31875
62,P PL U,3757
62,B P PL,78867
62,P U V,60960
62,B P V,1120872
62,B P U,163757
62,C PL V,133257
62,C P PL V,5794
62,C P PL U,626
62,B C P PL,9266
62,C P U V,9855
62,B C P V,191742
62,B C P U,21714
62,P PL U V,31081
62,B P PL V,754398
62,B P PL U,78867
62,B P U V,1120872
62,C P PL U V,5706
62,B C P PL V,109961
62,B C P PL U,9266
62,B C P U V,191742
62,B P PL U V,754398
62,B C P PL U V,109961
63,C P,65658
63,P PL,7995
63,P V,998
63,P U,35623
63,B P,430179
63,C PL,18301
63,C V,4185
63,PL V,559
63,B U,63526
63,C P PL,15003
63,C P V,2475
63,C P U,55359
63,B C P,708231
63,P PL V,382
63,P PL U,5909
63,B P PL,179324
63,P U V,721
63,B P V,22870
63,B P U,221968
63,C PL V,1564
63,C P PL V,974
63,C P PL U,11165
63,B C P PL,347707
63,C P U V,1874
63,B C P V,55693
63,B C P U,359290
63,P PL U V,250
63,B P PL V,13691
63,B P PL U,57466
63,B P U V,8271
63,C P PL U V,713
63,B C P PL V,33242
63,B C P PL U,110828
63,B C P U V,20289
63,B P PL U V,3446
63,B C P PL U V,8893
64,P PL,529
64,P PH,10606
64,C P,4378
64,PH PL,60597
64,C PL,34640
64,C PH,671772
64,C U,171050
64,C V,10988114
64,U V,34635
64,P PH PL,2869
64,C P PL,1613
64,C P PH,25205
64,C P U,4311
64,C P V,341092
64,C PH PL,209956
64,C PL U,34054
64,C PL V,3059536
64,C PH U,660673
64,C PH V,47513578
64,C U V,10988114
64,C P PH PL,9270
64,C P PL U,1593
64,C P PL V,125401
64,C P PH U,24802
64,C P PH V,1994249
64,C P U V,341092
64,C PH PL U,206627
64,C PH PL V,18218641
64,C PL U V,3059536
64,C PH U V,47513578
64,C P PH PL U,9130
64,C P PH PL V,692609
64,C P PL U V,125401
64,C P PH U V,1994249
64,C PH PL U V,18218641
64,C P PH PL U V,692609
65,P PL,3043
65,P PH,11016
65,C P,17103
65,PH PL,12763
65,C PL,24679
65,C PH,161741
65,C U,53154
65,C V,7472581
65,U V,18677
65,P PH PL,3997
65,C P PL,6935
65,C P PH,26496
65,C P U,6318
65,C P V,1042912
65,C PH PL,38729
65,C PL U,8884
65,C PL V,1875250
65,C PH U,60094
65,C PH V,10509138
65,C U V,203806
65,C P PH PL,12972
65,C P PL U,2505
65,C P PL V,481446
65,C P PH U,10174
65,C P PH V,1622951
65,C P U V,31821
65,C PH PL U,15002
65,C PH PL V,2754864
65,C PL U V,54549
65,C PH U V,287976
65,C P PH PL U,5051
65,C P PH PL V,833695
65,C P PL U V,17367
65,C P PH U V,70333
65,C PH PL U V,151988
65,C P PH PL U V,33955
66,P PL,10545
66,P PH,86319
66,C P,161074
66,PH PL,10684
66,C PL,35199
66,C PH,167345
66,C U,170260
66,C V,356034
66,U V,809
66,P PH PL,10145
66,C P PL,30862
66,C P PH,155051
66,C P U,157979
66,C P V,328480
66,C PH PL,33712
66,C PL U,34509
66,C PL V,98084
66,C PH U,164566
66,C PH V,338555
66,C U V,356034
66,C P PH PL,29571
66,C P PL U,30286
66,C P PL V,86857
66,C P PH U,152546
66,C P PH V,311826
66,C P U V,328480
66,C PH PL U,33117
66,C PH PL V,92567
66,C PL U V,98084
66,C PH U V,338555
66,C P PH PL U,29078
66,C P PH PL V,82213
66,C P PL U V,86857
66,C P PH U V,311826
66,C PH PL U V,92567
66,C P PH PL U V,82213
67,P PL,670
67,P PH,2637
67,C P,4460
67,PH PL,10006
67,C PL,22346
67,C PH,66548
67,C U,42661
67,C V,7442989
67,U V,17166
67,P PH PL,670
67,C P PL,1444
67,C P PH,4460
67,C P U,1231
67,C P V,263593
67,C PH PL,22346
67,C PL U,6693
67,C PL V,1735875
67,C PH U,21103
67,C PH V,4421852
67,C U V,76983
67,C P PH PL,1444
67,C P PL U,365
67,C P PL V,96906
67,C P PH U,1231
67,C P PH V,263593
67,C P U V,2013
67,C PH PL U,6693
67,C PH PL V,1735875
67,C PL U V,16371
67,C PH U V,38819
67,C P PH PL U,365
67,C P PH PL V,96906
67,C P PL U V,469
67,C P PH U V,2013
67,C PH PL U V,16371
67,C P PH PL U V,469
68,C P,174305
68,P PL,11102
68,P PH,303187
68,P V,327152
68,C PL,33326
68,C PH,704085
68,C V,862828
68,B C,15900001
68,PH PL,71242
68,PL V,315611
68,PH V,1327972
68,C P PL,33326
68,C P PH,704085
68,C P V,862828
68,B C P,15900001
68,P PH PL,71242
68,P PL V,315611
68,P PH V,1327972
68,C PH PL,232285
68,C PL V,1242977
68,B C PL,3814706
68,C PH V,4245830
68,B C PH,70129559
68,B C V,81746778
68,PH PL V,2461248
68,C P PH PL,232285
68,C P PL V,1242977
68,B C P PL,3814706
68,C P PH V,4245830
68,B C P PH,70129559
68,B C P V,81746778
68,P PH PL V,2461248
68,C PH PL V,10257634
68,B C PH PL,26312006
68,B C PL V,141313952
68,B C PH V,412908832
68,C P PH PL V,10257634
68,B C P PH PL,26312006
68,B C P PL V,141313952
68,B C P PH V,412908832
68,B C PH PL V,1112747282
68,B C P PH PL V,1112747282
69,C P,65647
69,P PL,7258
69,P PH,211947
69,P V,128465
69,C PL,18836
69,C PH,529790
69,C V,589658
69,B C,10238947
69,PH PL,65334
69,PL V,287359
69,PH V,1328246
69,C P PL,14505
69,C P PH,372882
69,C P V,230062
69,B C P,5647036
69,P PH PL,44651
69,P PL V,75613
69,P PH V,762635
69,C PH PL,129075
69,C PL V,495636
69,B C PL,1710127
69,C PH V,2786954
69,B C PH,44116097
69,B C V,46704335
69,PH PL V,2243020
69,C P PH PL,99251
69,C P PL V,162684
69,B C P PL,1307922
69,C P PH V,1541181
69,B C P PH,32280163
69,B C P V,18999553
69,P PH PL V,507603
69,C PH PL V,3825442
69,B C PH PL,11526851
69,B C PL V,42172701
69,B C PH V,227354931
69,C P PH PL V,1219820
69,B C P PH PL,8855904
69,B C P PL V,14974579
69,B C P PH V,127019726
69,B C PH PL V,300617108
69,B C P PH PL V,107654752
70,C P,22212
70,P PL,4664
70,P PH,64200
70,P V,46899
70,C PL,32679
70,C PH,701779
70,C V,673007
70,B C,15818932
70,PH PL,71242
70,PL V,178630
70,PH V,983609
70,C P PL,11134
70,C P PH,134334
70,C P V,100438
70,B C P,2169226
70,P PH PL,29224
70,P PL V,37735
70,P PH V,280772
70,C PH PL,227730
70,C PL V,664648
70,B C PL,3747965
70,C PH V,3091669
70,B C PH,69793800
70,B C V,64080045
70,PH PL V,1354730
70,C P PH PL,76119
70,C P PL V,97802
70,B C P PL,1242718
70,C P PH V,650689
70,B C P PH,13106182
70,B C P V,10006378
70,P PH PL V,246170
70,C PH PL V,5409092
70,B C PH PL,25845595
70,B C PL V,76671683
70,B C PH V,303810014
70,C P PH PL V,682253
70,B C P PH PL,8405156
70,B C P PL V,11506915
70,B C P PH V,64499873
70,B C PH PL V,596730990
70,B C P PH PL V,80052528
71,C P,174305
71,P PL,11102
71,P PH,91976
71,P V,33691
71,C PL,33326
71,C PH,174305
71,C V,97054
71,B C,15900001
71,PH PL,11102
71,PL V,130148
71,PH V,33691
71,C P PL,33326
71,C P PH,174305
71,C P V,97054
71,B C P,15900001
71,P PH PL,11102
71,P PL V,130148
71,P PH V,33691
71,C PH PL,33326
71,C PL V,520705
71,B C PL,3814706
71,C PH V,97054
71,B C PH,15900001
71,B C V,9387994
71,PH PL V,130148
71,C P PH PL,33326
71,C P PL V,520705
71,B C P PL,3814706
71,C P PH V,97054
71,B C P PH,15900001
71,B C P V,9387994
71,P PH PL V,130148
71,C PH PL V,520705
71,B C PH PL,3814706
71,B C PL V,58623592
71,B C PH V,9387994
71,C P PH PL V,520705
71,B C P PH PL,3814706
71,B C P PL V,58623592
71,B C P PH V,9387994
71,B C PH PL V,58623592
71,B C P PH PL V,58623592
72,C P,134678
72,P PL,10626
72,P PH,1038
72,P V,319008
72,C PL,20522
72,C PH,2681
72,C V,591108
72,B C,9940949
72,PH PL,537
72,PL V,316252
72,PH V,10299
72,C P PL,19618
72,C P PH,2666
72,C P V,562905
72,B C P,9928635
72,P PH PL,411
72,P PL V,216565
72,P PH V,8989
72,C PH PL,1218
72,C PL V,554063
72,B C PL,1832228
72,C PH V,28764
72,B C PH,183166
72,B C V,45681122
72,PH PL V,43278
72,C P PH PL,1039
72,C P PL V,358992
72,B C P PL,1767705
72,C P PH V,24955
72,B C P PH,182786
72,B C P V,44147556
72,P PH PL V,8378
72,C PH PL V,83851
72,B C PH PL,84334
72,B C PL V,46397842
72,B C PH V,1940859
72,C P PH PL V,17430
72,B C P PH PL,77087
72,B C P PL V,33572080
72,B C P PH V,1811898
72,B C PH PL V,4365157
72,B C P PH PL V,1582060
73,C P,78162
73,P PL,10595
73,P PH,197778
73,P V,1184
73,C PL,32941
73,C PH,664704
73,C V,8289
73,B C,15887427
73,PH PL,64479
73,PL V,597
73,PH V,10773
73,C P PL,26711
73,C P PH,410781
73,C P V,3495
73,B C P,8159945
73,P PH PL,60962
73,P PL V,544
73,P PH V,7129
73,C PH PL,206901
73,C PL V,2861
73,B C PL,3788320
73,C PH V,52698
73,B C PH,66476844
73,B C V,934775
73,PH PL V,4263
73,C P PH PL,161596
73,C P PL V,1966
73,B C P PL,3160819
73,C P PH V,23662
73,B C P PH,43292238
73,B C P V,387367
73,P PH PL V,3773
73,C PH PL V,22304
73,B C PH PL,23849934
73,B C PL V,311606
73,B C PH V,5919210
73,C P PH PL V,13715
73,B C P PH PL,19279952
73,B C P PL V,211591
73,B C P PH V,2734756
73,B C PH PL V,2619523
73,B C P PH PL V,1639421
74,P U,40508
74,B U,79851
74,B P,409126
74,C P,86053
74,P PH,207015
74,P V,118732
74,C PH,704085
74,C V,865125
74,PH V,1331347
74,B P U,409126
74,C P U,84576
74,P PH U,203276
74,P U V,116602
74,B C P,922156
74,B P PH,2147406
74,B P V,2012684
74,C P PH,488583
74,C P V,302981
74,P PH V,700696
74,C PH V,4255848
74,B C P U,922156
74,B P PH U,2147406
74,B P U V,2012684
74,C P PH U,479480
74,C P U V,297636
74,P PH U V,687703
74,B C P PH,5517172
74,B C P V,5588393
74,B P PH V,12139474
74,C P PH V,2013844
74,B C P PH U,5517172
74,B C P U V,5588393
74,B P PH U V,12139474
74,C P PH U V,1977058
74,B C P PH V,38686327
74,B C P PH U V,38686327
75,P U,30671
75,B U,55970
75,B P,377700
75,C P,58070
75,P PH,201156
75,P V,112363
75,C PH,527280
75,C V,589000
75,PH V,1331347
75,B P U,122301
75,C P U,43915
75,P PH U,152027
75,P U V,72077
75,B C P,576307
75,B P PH,1980325
75,B P V,1687101
75,C P PH,321700
75,C P V,181841
75,P PH V,665901
75,C PH V,2784147
75,B C P U,184501
75,B P PH U,622597
75,B P U V,341810
75,C P PH U,239684
75,C P U V,115152
75,P PH U V,419910
75,B C P PH,3349623
75,B C P V,2863319
75,B P PH V,10322152
75,C P PH V,1182515
75,B C P PH U,1050981
75,B C P U V,579695
75,B P PH U V,2036913
75,C P PH U V,734009
75,B C P PH V,19192601
75,B C P PH U V,3812589
76,P U,26496
76,B U,48141
76,B P,425933
76,C P,83428
76,P PH,41710
76,P V,94239
76,C PH,174305
76,C V,683288
76,PH V,262116
76,B P U,86270
76,C P U,51472
76,P PH U,26496
76,P U V,46047
76,B C P,922331
76,B P PH,425933
76,B P V,1760476
76,C P PH,83428
76,C P V,224227
76,P PH V,94239
76,C PH V,683288
76,B C P U,175748
76,B P PH U,86270
76,B P U V,186206
76,C P PH U,51472
76,C P U V,103316
76,P PH U V,46047
76,B C P PH,922331
76,B C P V,4728606
76,B P PH V,1760476
76,C P PH V,224227
76,B C P PH U,175748
76,B C P U V,434967
76,B P PH U V,186206
76,C P PH U V,103316
76,B C P PH V,4728606
76,B C P PH U V,434967
77,P U,11555
77,B U,71850
77,B P,201916
77,C P,30578
77,P PH,73582
77,P V,25932
77,C PH,704085
77,C V,97054
77,PH V,214245
77,B P U,138289
77,C P U,27503
77,P PH U,65782
77,P U V,21632
77,B C P,498086
77,B P PH,1162655
77,B P V,560807
77,C P PH,194727
77,C P V,65424
77,P PH V,154585
77,C PH V,704508
77,B C P U,342858
77,B P PH U,815655
77,B P U V,327333
77,C P PH U,175892
77,C P U V,55797
77,P PH U V,130309
77,B C P PH,3223833
77,B C P V,1440551
77,B P PH V,3387979
77,C P PH V,435424
77,B C P PH U,2253890
77,B C P U V,869218
77,B P PH U V,2057705
77,C P PH U V,375085
77,B C P PH V,9825915
77,B C P PH U V,5982882
78,P U,12841
78,B U,79851
78,B P,215690
78,C P,29284
78,P PH,74304
78,P V,495
78,C PH,704085
78,C V,4010
78,PH V,7927
78,B P U,215690
78,C P U,28803
78,P PH U,72777
78,P U V,492
78,B C P,517083
78,B P PH,1250330
78,B P V,12873
78,C P PH,183554
78,C P V,1557
78,P PH V,4233
78,C PH V,28377
78,B C P U,517083
78,B P PH U,1250330
78,B P U V,12873
78,C P PH U,180320
78,C P U V,1548
78,P PH U V,4213
78,B C P PH,3318431
78,B C P V,48222
78,B P PH V,109211
78,C P PH V,14143
78,B C P PH U,3318431
78,B C P U V,48222
78,B P PH U V,109211
78,C P PH U V,14071
78,B C P PH V,426751
78,B C P PH U V,426751
79,P U,7505
79,B U,55147
79,B P,176721
79,C P,20059
79,P PH,67005
79,P V,71750
79,C PH,529790
79,C V,590979
79,PH V,1331073
79,B P U,35682
79,C P U,12716
79,P PH U,42007
79,P U V,38573
79,B C P,308358
79,B P PH,1007297
79,B P V,1427605
79,C P PH,127200
79,C P V,130442
79,P PH V,435449
79,C PH V,2792760
79,B C P U,64169
79,B P PH U,204604
79,B P U V,200378
79,C P PH U,80402
79,C P U V,71863
79,P PH U V,234558
79,B C P PH,1963176
79,B C P V,2662177
79,B P PH V,8639743
79,C P PH V,893715
79,B C P PH U,423429
79,B C P U V,402345
79,B P PH U V,1248707
79,C P PH U V,493271
79,B C P PH V,18099250
79,B C P PH U V,2870375
80,P U,39797
80,C U,160207
80,C P,1659783
80,C P U,1459345
81,P U,12426
81,C U,132712
81,C P,657592
81,C P U,657592
82,C U,62423
82,C PH,260852417
82,PH U,149025
82,C PH U,1771584
83,C U,69018
83,C PH,263105194
83,PH U,163513
83,C PH U,2323452
84,C U,170480
