QueryID,truecardinality_Estimate
327,43091912
328,23
329,39
330,677
331,570565
332,13899
333,1417
334,1119
335,1
336,1194786
337,5454544
338,509582
339,351140
340,195931
341,6238
342,5906
343,304411
344,23481
345,1280191
346,382026
347,590
348,21
349,50968
350,18
351,1429
352,3340861
353,2
354,1729301
355,2454483
356,218996
357,1
358,11519
359,252274
360,533889
361,17410
362,390343
363,8
364,18
365,298
366,425101
367,122854
368,5812
369,3
370,18
371,70
372,11
373,48
374,55
375,50503
376,282576
377,7
378,3928
379,91717
380,3077
381,3692856
382,4
383,5
384,724787
385,1453899
386,16494
387,66
388,21004
389,61314
390,6517182
391,1184773
392,37
393,91025
394,6598
395,2914
396,4
397,24827
398,3419841
399,26948
400,280643
401,2351543
402,60
403,643858
404,17
405,198102
406,244474
407,4021
408,373
409,976
410,1549
411,138855
412,74412
413,2634
414,88511
415,7557053
416,180
417,3010052
418,580951
419,1154208
420,144362
421,94207
422,7183702
423,292
424,3474327
425,13625942
426,441793
427,541
428,366342
429,4621
430,12
431,386013
432,1717
433,1460
434,162018
435,9582521
436,1034888
437,351
438,66067
439,1058654
440,25939
441,3245
442,945
443,264
444,18875160
445,7316806
446,12548
447,22447677
448,7513305
449,1495
450,763746
451,1797
452,506397
453,2919068
454,37563
455,8123586
456,188668
457,163003
458,13146
459,2500526
460,272419
461,57
462,409330
463,1785
464,270205
465,3153
466,1640
467,3881432
468,6525723
469,210356
470,21645
471,1119479
472,13143
473,4032
474,550115
475,624
476,30464
477,568
478,917942
479,1809
480,10907
481,70768
482,2587182
483,2027
484,464136
485,438683
486,1176
487,176
488,1525
489,42
490,1248132
491,2290592
492,28070
493,204
494,537103
495,18660
496,1
497,13
498,261428
499,3
500,61
501,1
502,55
503,1275
504,42
505,2598743
506,461584
507,11122353
508,3968450
509,38669
510,336
511,10909
512,477
513,9374
514,132
515,372329
516,204393225
517,85
518,159
519,30
520,5036
521,26352
522,2345
523,173540809
524,472
525,30
526,8968
527,1500
528,2625519
529,990584
530,5275
531,15
532,7324
533,2702174
534,55
535,13402896
536,108108
537,13588
538,22
539,97
540,163
541,5542
542,17
543,784
544,177
545,120
546,21
547,46
548,212
549,583802
550,4
551,53362
552,2199970
553,1383
554,12564
555,251627293
556,2623
557,8430043
558,27269086
559,6751
560,16568
561,207700
562,230
563,482765
564,3746804
565,2404075
566,6120
567,9980
568,1786
569,1560371
570,417
571,4116
572,615
573,29701
574,8169
575,1590
576,914262
577,8144875
578,2573
579,12
580,128104
581,690586
582,20
583,495
584,2175
585,337418
586,37516
587,10127
588,18812369
589,47510
590,345984
591,31111320
592,7270877
593,209258
594,48
595,39519304
596,16740740
597,45298
598,25052055
599,37128
600,3361
601,3367
602,43830
603,1648
604,34508064
605,576
606,18826
607,4408
608,1115511
609,172434659
610,620
611,29501
612,2866481
613,832
614,8461034
615,3864
616,51147544
617,18155630
618,1178
619,138562
620,4050
621,25935
622,1035
623,43837
624,213413
625,256
626,5306
627,82602
628,1054186
629,72
630,93727
631,7482
632,251648
633,4544
634,2803
635,1280
636,1848563
637,234208032
638,14989
639,12143
640,58
641,87249229
642,608073
643,750172
644,2793775
645,5826
646,9870
647,65
648,20746
649,179557
650,110867
651,300
652,1043
653,113980
654,180907
655,923
656,398958
657,1841791
658,31705797
659,167475
660,2276
661,552
662,188771
663,12079848
664,517247
665,7927570
666,52501155
667,325683
668,1751786
669,1049613
670,11699947
671,9783
672,46766
673,270854
674,5513
675,46395
676,4866
677,252
678,119
679,147747
680,30786669
681,287514
682,1143354
683,1991995
684,27862382
685,887433
686,4955570
687,4886992
688,881912
689,420
690,2370230
691,1082497
692,1260
693,18150
694,423101
695,2722
696,2724
697,2403297
698,15047713
699,31857
700,165205
701,1376795
702,308278
703,3499923
704,936
705,207367
706,3194664
707,145646247
708,330
709,3079
710,101947
711,12813162
712,372
713,19071
714,84704346
715,2
716,229874
717,156062949
718,110458
719,70255280
720,300534
721,95934191
722,2978718
723,1594304
724,278288
725,278167027
726,106916359
727,376253
728,27584135
729,33835390
730,3656131
731,12258219
732,1908816
733,256073
734,279890549
735,50336850
736,41360320
737,3879439
738,5122149
739,44428153
740,165340436
741,11985049
742,172260
743,13343126
744,276159297
745,1388213
746,1880588402
747,7165068
748,36106032
749,42428117
750,3946377
751,10069
752,31210542
753,6420559
754,3615154
755,1678
756,2565
757,3049736
758,21359567
759,4104534
760,19488
761,7743602
762,80435756
763,217826874
764,60435
765,255019
766,127228
767,398104
768,18825451
769,1375369013
770,48342
771,136277
772,2422716476
773,6090598
774,182
775,115449479
776,112377
777,324
778,12919414
779,2464368142
780,136139256
781,75133
782,394
783,1034
784,11128
785,34200
786,286941
787,291055812
788,96878
789,1458679
790,982411246
791,193639063
792,4917616
793,3241671
794,1398
795,37995
796,37945282
797,146796
798,6085577
799,768
800,2185
801,598658181
802,1889972
803,211010863
804,16688
805,4566429
806,10387049239
807,323629521
808,1427503
809,18613
810,648
811,121580
812,1150713
813,2185795
814,3791838
815,360636
816,9599423
817,7629
818,9838909
819,6305
820,470860
821,635109488
822,2560
823,14226867
824,241979917
825,1385
826,62040
827,3465
828,1994417
829,16490118607
830,2715175754
831,876156815
832,112405384
833,145610825751
834,87552684015
835,2000469384
836,8509982
837,71510612
838,2942914169
839,233657819759
840,59786834223
841,28048361
842,18914961759
843,37119
844,321778
845,8829
846,6417433
847,110783530297
848,1180917
849,3566861
850,240912
851,26816550812
852,237378060
853,3257859
854,3783190464
855,12685441
856,304420
857,32943
858,24318
859,5497801
860,9418905996
861,54920442225
862,127446634
863,66197334156
864,43905290162
865,1838552
866,2154
867,67952
868,3296160
869,12497023
870,47441026
871,506912
872,27959701
873,53915
874,4501590
875,130650
876,1504602
877,202920
878,90812
879,220
880,11222
881,6158827704
882,16974
883,95697536
884,477796
885,2805
886,47110
887,1429981
888,855960144
889,7173609623
890,2604
891,212573
892,2775
893,33447
894,151093
895,7209924
896,4582278
897,25365
898,32012217
899,1623
900,517836
901,699782
902,3333411
903,50398707
904,9742
905,375
906,1279044537
907,343962
908,1382057
909,2
910,22644
911,4144
912,179496
913,9768
914,69463
915,2970
916,137970
917,441052
918,2240
919,133788040
920,996880
921,191313
922,231705774
923,69372
924,108757563
925,772249213
926,726
927,11501
928,67815
929,22120
930,42
931,41144
932,11391027
933,42945
934,175942
935,39296392
936,26604
937,1654
938,5101948
939,231
940,503
941,14286000
942,37
943,384426
944,84
945,34526
946,46
947,4953
948,1191
949,4
950,10334
951,15276
952,106248
953,1
954,1
955,44930
956,1
957,9
958,132
959,17622
960,4422
961,735
962,4426965
963,7
964,36296
965,77803274
966,38060
967,6525
968,108
969,42
970,1488
971,258
972,188
973,34216
974,130
975,49329
976,45609
977,27
978,3279
979,159
980,1101
981,560
982,10
983,657412
984,53679
985,4707
986,1164
987,6127
988,62
989,65
990,1449836
991,43698
992,391
993,1185583
994,36
995,95550
996,1454
997,723
998,22
999,12
1000,4749
