QueryID,duckdb_Estimate
690,17015
691,278
692,9453
693,38
694,2835
695,9453
696,37434
697,9453
698,238221
699,58
700,103985
701,2835
702,2835
703,10481739
704,38
705,14398
706,198518
707,794073
708,3
709,9
710,278
711,952885
712,2268
713,9
714,198518
715,0
716,36
717,25736
718,6
719,71490
720,3
721,141550
722,231
723,510
724,510
725,750647
726,900775
727,7595
728,23591
729,12868
730,10723
731,117958
732,10723
733,10723
734,900775
735,235917
736,10723
737,11234
738,10723
739,117958
740,10723
741,1021
742,2547
743,12868
744,283100
745,21447
746,8257122
747,47183
748,21447
749,35745
750,750647
751,6
752,8257122
753,5617
754,117958
755,4
756,72
757,141550
758,30753
759,12868
760,21447
761,510
762,12868
763,750647
764,36
765,1021
766,9898
767,36
768,750647
769,750647
770,510
771,193618
772,1161708
773,329
774,0
775,658
776,8297
777,5531
778,27659
779,242023
780,4148
781,48404
782,0
783,829
784,553
785,14
786,0
787,6914
788,0
789,3457
790,242023
791,3457
792,34
793,41
794,2765
795,131
796,3457
797,116170
798,3457
799,0
800,32
801,27659
802,5
803,290427
804,6638
805,74
806,1936184
807,3457
808,58085
809,116170
810,0
811,1
812,298
813,10
814,74
815,0
816,10
817,5531
818,329
819,32
820,387236
821,8297
822,0
823,3457
824,4148
825,691
826,494580
827,0
828,699
829,194299
830,700
831,7710
832,14719
833,1030378
834,2472901
835,14719
836,412151
837,635
838,17663
839,11334159
840,1030378
841,2266831
842,29439
843,544038
844,7065
845,32383
846,9
847,2060755
848,3532
849,19626
850,9813
851,1030378
852,635
853,4533661
854,49065
855,194299
856,2943
857,2943
858,0
859,4
860,11334159
861,1236451
862,206075
863,2060755
864,161916
865,17663
866,120
867,206075
868,13
869,64766
870,17663
871,206075
872,32383
873,0
874,9
875,2943
876,107944
877,19
878,32383
879,140
880,3084
881,2397969
882,16
883,3892
884,326995
885,1631
886,8564
887,4
888,326995
889,326995
890,148
891,8564
892,148
893,217997
894,934
895,261596
896,42820
897,3114
898,19
899,934
900,2877556
901,84
902,15571
903,12976
904,10277
905,36
906,18685
907,15571
908,54499
909,0
910,184
911,13
912,2877556
913,599492
914,54499
915,0
916,0
917,719389
918,778
919,114189
920,185
921,0
922,205539
923,2
924,217997
925,2997464
926,217997
927,2
928,10380
929,0
930,0
931,0
932,5581
933,67
934,3
935,741
936,205
937,12107
938,290568
939,164
940,0
941,60535
942,1190
943,17936
944,0
945,18
946,3
947,532709
948,6341
949,576
950,11
951,12107
952,1240
953,297
954,11
955,133177
956,11
957,14
958,6341
959,1240
960,6341
961,2306
962,72642
963,3
964,133177
965,290568
966,1
967,59
968,12107
969,0
970,4
971,58113
972,0
973,532709
974,14528
975,532709
976,532709
977,1347
978,12107
979,41
980,48428
981,133177
982,0
983,2882
984,2
985,58113
986,58113
987,12107
988,18
989,41
990,60535
991,4960
992,1268
993,665887
994,3
995,48428
996,26635
997,576
998,12107
999,14
1000,12107
